,601939.XSHG,601398.XSHG,600519.XSHG,000858.XSHE,601166.XSHG,600036.XSHG
2017-01-03,5.49,4.43,334.56,33.97,16.24,17.96
2017-01-04,5.49,4.43,351.91,35.19,16.32,18.02
2017-01-05,5.49,4.44,346.74,35.21,16.33,18.1
2017-01-06,5.46,4.44,350.76,35.38,16.17,17.96
2017-01-09,5.47,4.46,348.51,35.72,16.24,17.94
2017-01-10,5.47,4.46,349.0,35.77,16.22,17.94
2017-01-11,5.47,4.47,345.45,35.15,16.15,17.96
2017-01-12,5.49,4.47,347.05,34.89,16.12,18.0
2017-01-13,5.54,4.49,344.87,34.98,16.26,18.22
2017-01-16,5.61,4.55,341.47,34.74,16.55,18.58
2017-01-17,5.62,4.53,349.13,35.05,16.42,18.45
2017-01-18,5.62,4.53,355.08,36.21,16.65,18.59
2017-01-19,5.62,4.53,354.72,36.12,16.64,18.52
2017-01-20,5.61,4.52,354.99,36.18,16.78,18.59
2017-01-23,5.58,4.53,351.22,36.64,16.73,18.5
2017-01-24,5.65,4.55,350.31,36.68,16.92,18.87
2017-01-25,5.68,4.56,347.63,36.53,16.93,18.88
2017-01-26,5.75,4.6,344.42,36.26,17.07,19.0
2017-02-03,5.69,4.56,346.85,35.69,16.73,18.7
2017-02-06,5.66,4.56,346.85,35.72,16.72,18.62
2017-02-07,5.65,4.55,343.58,35.72,16.66,18.57
2017-02-08,5.65,4.56,344.21,36.35,16.67,18.6
2017-02-09,5.68,4.57,347.61,36.6,16.69,18.73
2017-02-10,5.72,4.59,345.08,37.08,16.76,18.9
2017-02-13,5.77,4.62,349.75,37.81,16.87,18.97
2017-02-14,5.79,4.62,350.21,37.89,16.74,18.87
2017-02-15,5.92,4.68,348.53,37.64,16.8,19.13
2017-02-16,5.94,4.68,348.09,37.69,16.78,19.14
2017-02-17,5.86,4.64,350.56,38.17,16.69,19.02
2017-02-20,5.98,4.67,361.29,40.58,16.91,19.4
2017-02-21,5.94,4.68,358.74,40.05,16.92,19.41
2017-02-22,5.97,4.7,361.89,40.46,16.88,19.4
2017-02-23,5.97,4.71,361.7,39.67,16.88,19.38
2017-02-24,5.95,4.7,362.62,39.49,16.9,19.43
2017-02-27,5.9,4.69,357.2,38.61,16.81,19.41
2017-02-28,5.92,4.69,354.66,38.77,16.75,19.44
2017-03-01,5.89,4.68,356.61,39.18,16.66,19.34
2017-03-02,5.91,4.67,356.82,39.16,16.5,19.1
2017-03-03,5.88,4.65,356.54,39.19,16.48,19.01
2017-03-06,5.88,4.64,358.96,39.74,16.53,19.06
2017-03-07,5.94,4.68,367.2,40.82,16.59,19.24
2017-03-08,5.89,4.69,367.28,40.3,16.53,19.29
2017-03-09,5.87,4.7,369.9,39.86,16.39,19.05
2017-03-10,5.88,4.71,369.85,39.85,16.41,18.91
2017-03-13,5.93,4.73,371.55,40.82,16.55,19.03
2017-03-14,5.93,4.76,369.5,40.56,16.52,19.1
2017-03-15,5.93,4.75,374.68,40.71,16.51,19.01
2017-03-16,5.92,4.7,374.77,40.22,16.58,19.06
2017-03-17,5.89,4.69,378.48,39.95,16.37,18.81
2017-03-20,5.88,4.71,386.41,40.27,16.24,18.76
2017-03-21,5.89,4.71,394.01,42.52,16.18,18.76
2017-03-22,5.8,4.66,394.48,43.08,16.09,18.52
2017-03-23,5.84,4.67,389.79,42.69,16.17,18.64
2017-03-24,5.84,4.69,386.82,42.38,16.18,18.78
2017-03-27,5.92,4.75,378.82,41.7,16.2,19.1
2017-03-28,5.91,4.75,380.26,41.92,16.12,18.97
2017-03-29,5.93,4.78,383.65,42.24,16.06,19.09
2017-03-30,5.93,4.81,386.14,41.88,16.11,19.02
2017-03-31,5.94,4.84,386.36,42.14,16.21,19.17
2017-04-05,6.01,4.85,389.66,42.26,16.34,19.07
2017-04-06,6.0,4.83,391.91,42.09,16.32,19.04
2017-04-07,6.02,4.86,392.87,41.84,16.34,18.89
2017-04-10,5.96,4.83,389.2,40.83,16.26,18.91
2017-04-11,5.9,4.8,385.29,40.13,16.18,19.02
2017-04-12,5.96,4.85,390.23,41.21,16.0,19.05
2017-04-13,5.92,4.81,398.39,41.96,15.92,18.92
2017-04-14,5.88,4.81,395.45,41.51,15.81,18.82
2017-04-17,5.89,4.83,395.79,42.1,15.84,18.88
2017-04-18,5.83,4.79,404.65,43.01,15.56,18.6
2017-04-19,5.76,4.74,405.74,43.12,15.29,18.46
2017-04-20,5.76,4.73,415.31,44.74,15.21,18.39
2017-04-21,5.92,4.81,400.53,44.74,15.36,18.8
2017-04-24,5.9,4.82,398.55,43.43,15.36,18.91
2017-04-25,5.93,4.81,418.89,45.67,15.37,18.96
2017-04-26,5.98,4.87,417.96,44.79,15.38,19.11
