,code,pe_ratio
0,300372.XSHE,-4.49
1,300656.XSHE,28.86
2,603269.XSHG,37.14
3,300653.XSHE,39.47
4,002873.XSHE,30.23
5,300029.XSHE,-37.67
6,300649.XSHE,82.49
7,600385.XSHG,4102.3301
8,000995.XSHE,-15.97
9,600768.XSHG,106.2
10,300321.XSHE,71.53
11,002248.XSHE,-9.34
12,600423.XSHG,-3.24
13,000502.XSHE,86.29
14,300489.XSHE,76.03
15,600301.XSHG,187.58
16,300483.XSHE,207.65
17,000691.XSHE,2362.0801
18,300354.XSHE,-7183.2002
19,600561.XSHG,-20.05
20,300330.XSHE,-71.33
21,600847.XSHG,-57.92
22,300417.XSHE,66.96
23,600817.XSHG,667.89
24,002207.XSHE,-296.34
25,600506.XSHG,-331.25
26,300106.XSHE,-42.89
27,002715.XSHE,125.56
28,300243.XSHE,184.31
29,600605.XSHG,92.26
30,600213.XSHG,30.87
31,002057.XSHE,59.2
32,600444.XSHG,74.04
33,600306.XSHG,7.99
34,600573.XSHG,404.55
35,000702.XSHE,566.34
36,002627.XSHE,51.57
37,600448.XSHG,270.41
38,300220.XSHE,349.07
39,600796.XSHG,111.04
40,002473.XSHE,-75.35
41,002667.XSHE,-165.68
42,300313.XSHE,-20.17
43,600696.XSHG,-5.9
44,600778.XSHG,-6.24
45,000668.XSHE,-58.35
46,000713.XSHE,1939.9
47,000929.XSHE,150.22
48,300022.XSHE,228.86
49,300405.XSHE,160.67
50,300218.XSHE,52.28
51,600128.XSHG,128.67
52,300305.XSHE,39.33
53,002871.XSHE,48.89
54,002209.XSHE,-61.35
55,600371.XSHG,48.08
56,300652.XSHE,36.2
57,300169.XSHE,133.81
58,002760.XSHE,-881.53
59,600455.XSHG,-289.52
60,600593.XSHG,80.06
61,300387.XSHE,32.09
62,600980.XSHG,76.84
63,000610.XSHE,194.77
64,600152.XSHG,-41.18
65,002660.XSHE,-2627.1101
66,000622.XSHE,55.62
67,000695.XSHE,-131.62
68,300126.XSHE,391.47
69,000785.XSHE,460.87
70,000779.XSHE,173.89
71,600689.XSHG,19.52
72,600540.XSHG,-5.96
73,002580.XSHE,55.52
74,600250.XSHG,-332.88
75,300046.XSHE,61.12
76,600145.XSHG,-1677.48
77,002725.XSHE,68.39
78,002778.XSHE,88.26
79,600766.XSHG,893.38
80,300211.XSHE,1361.37
81,300452.XSHE,59.15
82,600234.XSHG,272.87
83,600189.XSHG,-18.11
84,603088.XSHG,106.86
85,300214.XSHE,39.04
86,300260.XSHE,202.53
